,document,term,tfidf
407119,Doris Day,reviews,0.04213265315922447
402807,Doris Day,mockingbird,0.041302564006971784
406469,Doris Day,recent,0.04097502761989002
403056,Doris Day,movie,0.03928827033988586
393665,Doris Day,critics,0.03867140949578636
1386508,Elizabeth Taylor,poitier,0.8917191713730898
1389966,Elizabeth Taylor,sidney,0.1164870591327897
1377965,Elizabeth Taylor,film,0.09851346712058158
1371356,Elizabeth Taylor,award,0.09166790386522845
1371465,Elizabeth Taylor,bahamas,0.08856752398951676
1384712,Elizabeth Taylor,negro,0.07587601237117378
1383833,Elizabeth Taylor,miami,0.07305857631354969
1370190,Elizabeth Taylor,african,0.07239435967273426
1369992,Elizabeth Taylor,actor,0.06875092789892133
1372150,Elizabeth Taylor,black,0.06816740246877397
332955,Gary Cooper,taylor,0.7708468048951661
314107,Gary Cooper,burton,0.16755328967871694
319222,Gary Cooper,film,0.16052622758364668
311515,Gary Cooper,aids,0.13675699859087678
325087,Gary Cooper,mgm,0.10214974490175548
318090,Gary Cooper,elizabeth,0.08152709976511624
321285,Gary Cooper,hiv,0.06791504064436059
333394,Gary Cooper,todd,0.06263154226588359
310368,Gary Cooper,210,0.05923259131464342
319304,Gary Cooper,fisher,0.05923259131464342
894591,Grace Kelly,olivier,0.8447136665260948
897829,Grace Kelly,richardson,0.14988887406890122
891701,Grace Kelly,leigh,0.14730875317977254
888251,Grace Kelly,gielgud,0.11103605805231448
887328,Grace Kelly,film,0.09232968687403352
898026,Grace Kelly,role,0.0738637494992268
901258,Grace Kelly,theatre,0.06982018688042826
902689,Grace Kelly,vic,0.06584373687163524
879355,Grace Kelly,actor,0.06315033354717077
896334,Grace Kelly,production,0.06271929828784761
1198971,Gregory Peck,hayworth,0.8244963404005724
1201009,Gregory Peck,khan,0.15450746220900116
1207790,Gregory Peck,rita,0.14461453554557926
1193234,Gregory Peck,cohn,0.12497588208630474
1192299,Gregory Peck,cansino,0.12460732289387011
1213472,Gregory Peck,yasmin,0.12460732289387011
